,temparature,humidity,gasAnalog,flameDetected,fireStatus
,31.5,66,649,FALSE,FALSE
,31.5,66,649,FALSE,FALSE
,31.5,66,656,FALSE,FALSE
,3.160.000.038,66,656,FALSE,FALSE
,3.160.000.038,66,673,FALSE,FALSE
,3.160.000.038,66,692,FALSE,FALSE
,3.170.000.076,66,694,FALSE,FALSE
,3.170.000.076,66,689,FALSE,FALSE
,3.179.999.924,66,694,FALSE,FALSE
,3.179.999.924,66,709,FALSE,FALSE
,3.179.999.924,66,727,FALSE,FALSE
,3.189.999.962,66,743,FALSE,FALSE
,3.189.999.962,66,768,FALSE,FALSE
,32,67,796,FALSE,FALSE
,32,67,854,FALSE,FALSE
,32,67,945,FALSE,FALSE
,32,67,1147,FALSE,FALSE
,32,67,1478,FALSE,FALSE
,3.209.999.847,67,1958,FALSE,FALSE
,3.209.999.847,68,3041,FALSE,FALSE
,3.209.999.847,68,3344,FALSE,FALSE
,3.209.999.847,68,658,FALSE,FALSE
,3.209.999.847,68,647,FALSE,FALSE
,3.209.999.847,68,665,FALSE,FALSE
,32,68,688,FALSE,FALSE
,32,68,707,FALSE,FALSE
,3.189.999.962,68,750,TRUE,FALSE
,3.179.999.924,68,807,TRUE,FALSE
,3.170.000.076,68,817,TRUE,FALSE
,3.160.000.038,68,825,TRUE,FALSE
,31.5,68,704,TRUE,FALSE
,3.139.999.962,68,746,TRUE,FALSE
,3.129.999.924,68,722,TRUE,FALSE
,3.120.000.076,68,681,TRUE,FALSE
,3.110.000.038,68,655,TRUE,FALSE
,31,68,645,TRUE,FALSE
,31,67,646,TRUE,FALSE
,3.089.999.962,67,646,TRUE,FALSE
,3.089.999.962,67,653,TRUE,FALSE
,3.079.999.924,67,641,FALSE,FALSE
,3.089.999.962,67,670,FALSE,FALSE
,3.089.999.962,67,678,FALSE,FALSE
,3.089.999.962,67,667,FALSE,FALSE
,31,67,687,TRUE,FALSE
,31,67,686,TRUE,FALSE
,31,66,715,TRUE,FALSE
,31,66,750,TRUE,FALSE
,31,66,862,FALSE,FALSE
,31,66,689,TRUE,FALSE
,31,66,688,FALSE,FALSE
,3.110.000.038,66,693,FALSE,FALSE
,3.110.000.038,66,707,FALSE,FALSE
,3.110.000.038,66,723,FALSE,FALSE
,3.120.000.076,65,720,FALSE,FALSE
,3.120.000.076,65,740,FALSE,FALSE
,3.129.999.924,65,758,FALSE,FALSE
,3.540.000.153,50,684,FALSE,FALSE
,35.5,50,706,FALSE,FALSE
,3.559.999.847,50,711,FALSE,FALSE
,3.570.000.076,50,713,FALSE,FALSE
,3.590.000.153,50,730,FALSE,FALSE
,36,49,741,FALSE,FALSE
,3.609.999.847,49,752,FALSE,FALSE
,3.620.000.076,49,783,FALSE,FALSE
,3.629.999.924,49,827,FALSE,FALSE
,3.640.000.153,49,851,FALSE,FALSE
,36.5,49,913,FALSE,FALSE
,3.659.999.847,49,910,FALSE,FALSE
,3.670.000.076,48,879,FALSE,FALSE
,3.690.000.153,48,912,FALSE,FALSE
,37,48,896,FALSE,FALSE
,3.709.999.847,48,1163,FALSE,FALSE
,3.729.999.924,48,839,FALSE,FALSE
,3.740.000.153,48,883,FALSE,FALSE
,3.759.999.847,48,949,FALSE,FALSE
,3.770.000.076,48,1014,FALSE,FALSE
,3.779.999.924,48,1153,FALSE,TRUE
,3.790.000.153,48,1454,FALSE,TRUE
,38,48,1906,FALSE,TRUE
,38,48,2327,FALSE,TRUE
,38,48,1325,FALSE,TRUE
,38,48,1657,TRUE,TRUE
,3.809.999.847,48,1442,TRUE,TRUE
,3.809.999.847,49,2038,TRUE,TRUE
,3.809.999.847,49,1423,TRUE,TRUE
,3.809.999.847,49,1270,TRUE,TRUE
,3.809.999.847,49,1574,TRUE,TRUE
,3.809.999.847,49,1872,TRUE,TRUE
,38,49,1921,TRUE,TRUE
,38,49,1459,FALSE,TRUE
,38,50,1712,TRUE,TRUE
,38,50,1287,TRUE,TRUE
,38,50,1833,TRUE,TRUE
,38,50,1450,TRUE,TRUE
,38,50,1908,FALSE,TRUE
,38,50,2250,TRUE,TRUE
,3.790.000.153,50,2691,FALSE,TRUE
,3.779.999.924,50,1719,TRUE,TRUE
,3.779.999.924,50,2359,TRUE,TRUE
,3.770.000.076,50,1744,TRUE,TRUE
,3.770.000.076,50,2418,TRUE,TRUE
,3.759.999.847,50,2298,TRUE,TRUE
,3.759.999.847,51,2773,FALSE,TRUE
,3.759.999.847,51,2293,FALSE,TRUE
,3.759.999.847,51,2814,TRUE,TRUE
,3.759.999.847,51,2011,TRUE,TRUE
,37.5,51,2455,TRUE,TRUE
,3.759.999.847,51,2553,TRUE,TRUE
,3.759.999.847,52,3175,TRUE,TRUE
,3.759.999.847,52,2512,TRUE,TRUE
,3.759.999.847,52,3342,FALSE,TRUE
,3.759.999.847,53,2544,TRUE,TRUE
,37.5,53,1662,TRUE,FALSE
,3.740.000.153,53,2320,TRUE,FALSE
,3.729.999.924,53,3690,TRUE,FALSE
,3.729.999.924,53,670,TRUE,FALSE
,3.720.000.076,54,672,TRUE,FALSE
,37,54,698,TRUE,TRUE
,3.690.000.153,56,994,TRUE,TRUE
,3.679.999.924,56,991,TRUE,TRUE
,3.670.000.076,57,1127,TRUE,TRUE
,3.659.999.847,57,1342,TRUE,TRUE
,36.5,58,1219,TRUE,TRUE
,3.640.000.153,58,1276,TRUE,TRUE
,3.629.999.924,59,1921,TRUE,TRUE
,3.620.000.076,59,2224,TRUE,TRUE
,3.609.999.847,60,2103,TRUE,TRUE
,36,60,2005,TRUE,TRUE
,36,61,1351,TRUE,TRUE
,3.590.000.153,61,1264,TRUE,TRUE
,3.579.999.924,62,1506,TRUE,TRUE
,3.559.999.847,62,2416,TRUE,TRUE
,35.5,63,2254,TRUE,TRUE
,3.529.999.924,64,1821,TRUE,TRUE
,3.509.999.847,65,2186,TRUE,TRUE
,3.490.000.153,66,1489,TRUE,TRUE
,3.470.000.076,67,2082,TRUE,TRUE
,34.5,68,1793,TRUE,TRUE
,3.429.999.924,68,1317,TRUE,TRUE
,3.420.000.076,69,1184,TRUE,TRUE
,34,70,1282,TRUE,TRUE
,3.379.999.924,70,1535,TRUE,TRUE
,3.359.999.847,70,1471,TRUE,TRUE
,3.329.999.924,71,1366,TRUE,FALSE
,3.309.999.847,72,1490,TRUE,FALSE
,33,72,1642,TRUE,FALSE
,3.279.999.924,73,1712,TRUE,FALSE
,3.259.999.847,73,1565,TRUE,FALSE
,3.240.000.153,74,1858,TRUE,FALSE
,3.229.999.924,74,3133,FALSE,FALSE
